MPRN,Meter Serial Number,Read Value,Read Type,Read Date and End Time
10001583637,000000000024709845,0.032,Active Import Interval (kW),10-05-2025 17:00
10001583637,000000000024709845,0.048,Active Import Interval (kW),10-05-2025 16:30
10001583637,000000000024709845,0.036,Active Import Interval (kW),10-05-2025 16:00
10001583637,000000000024709845,0.028,Active Import Interval (kW),10-05-2025 15:30
10001583637,000000000024709845,0.030,Active Import Interval (kW),10-05-2025 14:30
10001583637,000000000024709845,0.034,Active Import Interval (kW),10-05-2025 14:00
10001583637,000000000024709845,0.046,Active Import Interval (kW),10-05-2025 13:30
10001583637,000000000024709845,0.016,Active Import Interval (kW),10-05-2025 13:00
10001583637,000000000024709845,0.152,Active Import Interval (kW),10-05-2025 11:30
10001583637,000000000024709845,0.056,Active Import Interval (kW),10-05-2025 11:00
10001583637,000000000024709845,0.024,Active Import Interval (kW),10-05-2025 09:30
10001583637,000000000024709845,0.042,Active Import Interval (kW),10-05-2025 09:00
10001583637,000000000024709845,3.192,Active Import Interval (kW),10-05-2025 06:30
10001583637,000000000024709845,3.168,Active Import Interval (kW),10-05-2025 06:00
10001583637,000000000024709845,3.200,Active Import Interval (kW),10-05-2025 05:30
10001583637,000000000024709845,0.044,Active Import Interval (kW),10-05-2025 04:00
10001583637,000000000024709845,0.054,Active Import Interval (kW),10-05-2025 03:30
10001583637,000000000024709845,0.074,Active Import Interval (kW),10-05-2025 03:00
10001583637,000000000024709845,0.054,Active Import Interval (kW),10-05-2025 01:30
10001583637,000000000024709845,0.062,Active Import Interval (kW),10-05-2025 01:00
10001583637,000000000024709845,0.064,Active Import Interval (kW),10-05-2025 00:30
10001583637,000000000024709845,0.046,Active Import Interval (kW),10-05-2025 00:00
10001583637,000000000024709845,0.178,Active Import Interval (kW),09-05-2025 23:30
10001583637,000000000024709845,0.066,Active Import Interval (kW),09-05-2025 23:00
10001583637,000000000024709845,0.076,Active Import Interval (kW),09-05-2025 22:30
10001583637,000000000024709845,0.106,Active Import Interval (kW),09-05-2025 22:00
10001583637,000000000024709845,0.078,Active Import Interval (kW),09-05-2025 21:30
10001583637,000000000024709845,0.094,Active Import Interval (kW),09-05-2025 21:00
10001583637,000000000024709845,0.064,Active Import Interval (kW),09-05-2025 20:30
10001583637,000000000024709845,0.060,Active Import Interval (kW),09-05-2025 20:00
10001583637,000000000024709845,0.074,Active Import Interval (kW),09-05-2025 19:30
10001583637,000000000024709845,0.658,Active Import Interval (kW),09-05-2025 19:00
10001583637,000000000024709845,0.860,Active Import Interval (kW),09-05-2025 18:30
10001583637,000000000024709845,0.732,Active Import Interval (kW),09-05-2025 18:00
10001583637,000000000024709845,0.056,Active Import Interval (kW),09-05-2025 17:30
10001583637,000000000024709845,0.146,Active Import Interval (kW),09-05-2025 17:00
10001583637,000000000024709845,0.166,Active Import Interval (kW),09-05-2025 16:30
10001583637,000000000024709845,0.148,Active Import Interval (kW),09-05-2025 16:00
10001583637,000000000024709845,0.158,Active Import Interval (kW),09-05-2025 15:30
10001583637,000000000024709845,0.252,Active Import Interval (kW),09-05-2025 15:00
10001583637,000000000024709845,2.342,Active Import Interval (kW),09-05-2025 14:30
10001583637,000000000024709845,0.200,Active Import Interval (kW),09-05-2025 14:00
10001583637,000000000024709845,0.536,Active Import Interval (kW),09-05-2025 13:30
10001583637,000000000024709845,0.144,Active Import Interval (kW),09-05-2025 13:00
10001583637,000000000024709845,0.050,Active Import Interval (kW),09-05-2025 12:30
10001583637,000000000024709845,0.092,Active Import Interval (kW),09-05-2025 12:00
10001583637,000000000024709845,0.104,Active Import Interval (kW),09-05-2025 11:30
